Name,CMP,PE,MarCap,DivYld,NPQtr,QtrProfitVar,SalesQtr,QtrSalesVar,ROCE,ROE5Yr,ROE3Yr,ROE7Yr
Max Financial,1355.2,141.75,46769.95,0.0,38.28,174.88,12375.76,-16.87,8.07,9.4,8.75,9.53
P & G Hygiene,14349.0,65.06,46577.91,1.36,268.59,17.34,1247.63,10.08,112.44,68.74,79.68,64.62
Nippon Life Ind.,727.85,35.91,46196.83,2.27,298.6,-12.92,566.54,20.99,41.07,25.98,27.48,24.16
Godfrey Phillips,8718.5,39.33,45330.9,0.64,279.61,31.17,1573.39,79.76,29.62,18.58,20.89,17.58
Container Corpn.,730.5,33.41,44508.95,1.57,367.28,10.91,2208.31,-0.1,13.93,9.31,10.56,10.03
Jubilant Food.,674.3,195.23,44493.36,0.18,49.34,-3.91,2103.18,33.64,12.86,16.62,13.82,18.69
L&T Finance Ltd,174.87,16.52,43671.18,1.57,635.84,14.98,4022.92,9.61,8.7,6.14,7.09,7.91
Voltas,1261.4,50.03,41737.8,0.44,235.69,113.02,4767.56,13.44,17.86,8.67,7.67,9.67
SJVN,104.2,44.7,40948.47,1.73,148.75,-5.62,670.99,23.5,4.99,10.1,7.97,10.57
Thermax,3426.6,65.15,40830.1,0.35,205.55,9.58,3084.93,11.62,16.18,11.66,13.32,11.24
Biocon,339.4,42.38,40748.36,0.15,459.4,138.19,4417.0,12.76,6.13,5.95,4.89,6.86
J K Cements,5251.5,64.29,40577.42,0.29,189.87,-33.19,2930.28,-0.16,15.8,15.96,14.19,15.54
K P R Mill Ltd,1175.9,49.31,40193.91,0.43,204.55,-4.24,1768.98,4.26,20.26,21.82,19.65,21.52
Escorts Kubota,3551.5,35.29,39733.38,0.51,318.42,12.43,2444.88,6.27,14.03,12.08,10.79,12.81
360 ONE,1000.55,36.43,39391.44,0.6,249.6,2.88,820.77,3.74,14.91,20.01,21.9,17.85
Bank of Maha,51.06,7.09,39273.08,2.94,1502.32,22.15,6730.82,23.12,5.78,17.03,21.41,9.74
